Date_Param,Province_Name,Temperature,Precipitation
2022-07-16,Aceh,19.2,0.38
2022-07-17,Aceh,19.22,0.0
2022-07-18,Aceh,20.01,0.0
2022-07-19,Aceh,19.45,0.0
2022-07-20,Aceh,19.56,0.0
2022-07-21,Aceh,19.59,5.86
2022-07-22,Aceh,19.87,4.17
2022-07-23,Aceh,20.78,2.92
2022-07-24,Aceh,20.22,2.84
2022-07-25,Aceh,19.84,13.91
2022-07-26,Aceh,19.93,14.92
2022-07-27,Aceh,19.66,8.87
2022-07-28,Aceh,19.65,8.13
2022-07-29,Aceh,18.37,5.12
2022-07-30,Aceh,18.0,4.38
2022-07-31,Aceh,19.84,0.11
2022-08-01,Aceh,19.95,4.14
2022-08-02,Aceh,18.92,39.06
2022-08-03,Aceh,17.84,7.53
2022-08-04,Aceh,18.24,0.64
2022-08-05,Aceh,19.41,0.05
2022-08-06,Aceh,18.82,0.09
2022-08-07,Aceh,18.6,0.0
2022-08-08,Aceh,18.51,0.0
2022-08-09,Aceh,18.88,0.0
2022-08-10,Aceh,20.2,0.0
2022-08-11,Aceh,20.23,0.0
2022-08-12,Aceh,19.83,0.1
2022-08-13,Aceh,19.73,19.25
2022-08-14,Aceh,20.58,10.34
2022-08-15,Aceh,19.01,10.76
2022-08-16,Aceh,19.46,3.68
2022-08-17,Aceh,19.7,5.94
2022-08-18,Aceh,19.97,22.09
2022-08-19,Aceh,20.68,23.72
2022-08-20,Aceh,19.2,7.35
2022-08-21,Aceh,18.54,1.87
2022-08-22,Aceh,18.81,1.58
2022-08-23,Aceh,19.29,0.08
2022-08-24,Aceh,19.83,2.02
2022-08-25,Aceh,19.19,44.6
2022-08-26,Aceh,18.54,26.36
2022-08-27,Aceh,18.73,0.74
2022-08-28,Aceh,19.44,1.38
2022-08-29,Aceh,19.51,25.09
2022-08-30,Aceh,19.28,32.94
2022-08-31,Aceh,19.32,5.41
2022-09-01,Aceh,19.03,9.86
2022-09-02,Aceh,18.81,18.7
2022-09-03,Aceh,18.86,14.17
2022-09-04,Aceh,18.95,0.59
2022-09-05,Aceh,19.29,0.0
2022-09-06,Aceh,19.53,2.23
2022-09-07,Aceh,17.69,6.73
2022-09-08,Aceh,19.15,0.01
2022-09-09,Aceh,20.13,0.0
2022-09-10,Aceh,20.05,0.0
2022-09-11,Aceh,20.12,0.0
2022-09-12,Aceh,20.04,0.0
2022-09-13,Aceh,19.52,1.65
2022-09-14,Aceh,18.31,0.76
2022-09-15,Aceh,19.0,8.32
2022-09-16,Aceh,19.76,0.68
2022-09-17,Aceh,20.01,11.88
2022-09-18,Aceh,18.76,4.34
2022-09-19,Aceh,18.55,0.0
2022-09-20,Aceh,18.46,0.03
2022-09-21,Aceh,19.37,6.41
2022-09-22,Aceh,18.45,0.18
2022-09-23,Aceh,18.85,8.71
2022-09-24,Aceh,18.91,3.36
2022-09-25,Aceh,18.82,0.25
2022-09-26,Aceh,19.19,2.7
2022-09-27,Aceh,18.9,35.01
2022-09-28,Aceh,18.65,28.52
2022-09-29,Aceh,18.39,23.1
2022-09-30,Aceh,19.01,7.62
2022-10-01,Aceh,18.55,0.45
2022-10-02,Aceh,18.99,0.94
2022-10-03,Aceh,19.06,4.39
2022-10-04,Aceh,18.79,124.95
2022-10-05,Aceh,18.21,57.78
2022-10-06,Aceh,19.04,35.05
2022-10-07,Aceh,18.44,50.77
2022-10-08,Aceh,18.75,7.28
2022-10-09,Aceh,19.28,0.01
2022-10-10,Aceh,19.74,0.0
2022-10-11,Aceh,19.75,0.45
2022-10-12,Aceh,19.14,0.33
2022-10-13,Aceh,19.64,0.13
2022-10-14,Aceh,19.41,14.84
2022-10-15,Aceh,18.69,17.66
2022-10-16,Aceh,18.7,20.73
2022-10-17,Aceh,18.55,2.98
2022-10-18,Aceh,18.2,13.75
2022-10-19,Aceh,18.07,20.98
2022-10-20,Aceh,19.03,21.27
2022-10-21,Aceh,19.12,21.28
2022-10-22,Aceh,19.0,1.44
2022-10-23,Aceh,19.09,0.77
2022-10-24,Aceh,19.15,0.18
2022-10-25,Aceh,19.48,4.39
2022-10-26,Aceh,19.41,15.4
2022-10-27,Aceh,19.36,4.24
2022-10-28,Aceh,19.67,5.2
2022-10-29,Aceh,19.67,8.63
2022-10-30,Aceh,19.43,13.44
2022-10-31,Aceh,19.15,7.47
2022-11-01,Aceh,19.52,1.76
2022-11-02,Aceh,19.56,1.6
2022-11-03,Aceh,20.07,17.91
2022-11-04,Aceh,19.15,26.34
2022-11-05,Aceh,19.37,13.62
2022-11-06,Aceh,19.31,37.52
2022-11-07,Aceh,18.78,17.17
2022-11-08,Aceh,18.87,6.91
2022-11-09,Aceh,19.85,0.64
2022-11-10,Aceh,19.11,16.11
2022-11-11,Aceh,18.59,17.73
2022-11-12,Aceh,18.96,18.28
2022-11-13,Aceh,19.35,27.8
2022-11-14,Aceh,19.49,44.76
2022-11-15,Aceh,19.27,11.29
2022-11-16,Aceh,18.91,3.45
2022-11-17,Aceh,18.07,0.74
2022-11-18,Aceh,18.04,26.59
2022-11-19,Aceh,18.09,7.07
2022-11-20,Aceh,18.37,0.91
2022-11-21,Aceh,19.46,7.93
2022-11-22,Aceh,19.41,7.1
2022-11-23,Aceh,17.72,4.76
2022-11-24,Aceh,17.65,7.47
2022-11-25,Aceh,17.38,5.94
2022-11-26,Aceh,17.71,2.24
2022-11-27,Aceh,18.82,0.0
2022-11-28,Aceh,19.78,0.07
2022-11-29,Aceh,20.0,1.57
2022-11-30,Aceh,20.25,2.72
2022-12-01,Aceh,19.59,6.18
2022-12-02,Aceh,18.76,28.6
2022-12-03,Aceh,19.06,10.54
2022-12-04,Aceh,19.3,3.01
2022-12-05,Aceh,19.06,22.1
2022-12-06,Aceh,18.5,7.9
2022-12-07,Aceh,18.96,19.91
2022-12-08,Aceh,18.87,44.0
2022-12-09,Aceh,17.62,9.88
2022-12-10,Aceh,18.34,14.33
2022-12-11,Aceh,17.95,21.99
2022-12-12,Aceh,18.64,6.99
2022-12-13,Aceh,18.9,49.57
2022-12-14,Aceh,18.64,12.76
2022-12-15,Aceh,19.51,3.27
2022-12-16,Aceh,20.32,0.02
2022-12-17,Aceh,19.74,62.11
2022-12-18,Aceh,18.43,82.98
2022-12-19,Aceh,19.53,25.66
2022-12-20,Aceh,19.58,11.0
2022-12-21,Aceh,18.99,2.5
2022-12-22,Aceh,19.16,0.08
2022-12-23,Aceh,20.08,0.0
2022-12-24,Aceh,19.69,0.06
2022-12-25,Aceh,19.99,0.05
2022-12-26,Aceh,19.67,4.2
2022-12-27,Aceh,20.16,5.27
2022-12-28,Aceh,19.89,0.49
2022-12-29,Aceh,19.72,3.87
2022-12-30,Aceh,19.77,1.15
2022-12-31,Aceh,19.52,0.0
2023-01-01,Aceh,20.0,0.02
2023-01-02,Aceh,19.73,0.11
2023-01-03,Aceh,19.81,0.02
2023-01-04,Aceh,19.31,0.1
2023-01-05,Aceh,19.11,0.07
2023-01-06,Aceh,19.08,33.7
2023-01-07,Aceh,19.06,5.73
2023-01-08,Aceh,19.33,0.81
2023-01-09,Aceh,19.76,0.14
2023-01-10,Aceh,19.54,0.06
2023-01-11,Aceh,19.11,0.01
2023-01-12,Aceh,19.77,0.12
2023-01-13,Aceh,19.37,0.45
2023-01-14,Aceh,19.69,1.5
2023-01-15,Aceh,19.56,19.51
2023-01-16,Aceh,19.4,4.87
2023-01-17,Aceh,16.7,0.19
2023-01-18,Aceh,18.08,0.07
2023-01-19,Aceh,19.63,0.15
2023-01-20,Aceh,19.29,29.11
2023-01-21,Aceh,18.81,90.14
2023-01-22,Aceh,18.55,28.37
2023-01-23,Aceh,18.63,49.15
2023-01-24,Aceh,18.02,7.02
2023-01-25,Aceh,19.51,4.22
2023-01-26,Aceh,19.65,6.87
2023-01-27,Aceh,18.89,5.22
2023-01-28,Aceh,18.86,1.9
2023-01-29,Aceh,19.53,0.78
2023-01-30,Aceh,19.21,0.56
2023-01-31,Aceh,18.44,8.1
2023-02-01,Aceh,18.48,1.31
2023-02-02,Aceh,19.65,0.0
2023-02-03,Aceh,19.74,15.26
2023-02-04,Aceh,20.36,2.8
2023-02-05,Aceh,19.99,1.19
2023-02-06,Aceh,19.23,0.56
2023-02-07,Aceh,19.75,0.14
2023-02-08,Aceh,19.72,1.09
2023-02-09,Aceh,20.55,2.59
2023-02-10,Aceh,19.47,36.85
2023-02-11,Aceh,19.19,0.84
2023-02-12,Aceh,20.28,0.1
2023-02-13,Aceh,20.13,0.14
2023-02-14,Aceh,20.09,3.51
2023-02-15,Aceh,19.32,0.4
2023-02-16,Aceh,19.59,8.67
2023-02-17,Aceh,20.04,4.35
2023-02-18,Aceh,20.49,0.19
2023-02-19,Aceh,20.1,5.23
2023-02-20,Aceh,19.75,0.86
2023-02-21,Aceh,19.02,1.05
2023-02-22,Aceh,19.96,1.69
2023-02-23,Aceh,20.53,0.2
2023-02-24,Aceh,19.52,0.02
2023-02-25,Aceh,19.15,0.0
2023-02-26,Aceh,19.69,1.05
2023-02-27,Aceh,19.17,4.4
2023-02-28,Aceh,19.45,3.96
2023-03-01,Aceh,18.47,4.52
2023-03-02,Aceh,19.9,8.27
2023-03-03,Aceh,18.48,5.85
2023-03-04,Aceh,19.42,0.05
2023-03-05,Aceh,19.34,0.76
2023-03-06,Aceh,19.47,0.0
2023-03-07,Aceh,19.69,4.47
2023-03-08,Aceh,20.24,0.98
2023-03-09,Aceh,20.58,5.19
2023-03-10,Aceh,19.98,11.25
2023-03-11,Aceh,19.79,2.14
2023-03-12,Aceh,21.21,1.46
2023-03-13,Aceh,19.83,12.06
2023-03-14,Aceh,19.38,1.04
2023-03-15,Aceh,20.25,0.0
2023-03-16,Aceh,20.76,0.0
2023-03-17,Aceh,21.3,0.0
2023-03-18,Aceh,20.67,5.66
2023-03-19,Aceh,21.37,1.12
2023-03-20,Aceh,20.9,2.44
2023-03-21,Aceh,21.25,0.22
2023-03-22,Aceh,21.42,1.41
2023-03-23,Aceh,20.25,4.4
2023-03-24,Aceh,20.47,7.12
2023-03-25,Aceh,20.26,3.45
2023-03-26,Aceh,20.69,3.66
2023-03-27,Aceh,21.04,1.94
2023-03-28,Aceh,20.82,1.86
2023-03-29,Aceh,21.33,0.16
2023-03-30,Aceh,21.04,4.25
2023-03-31,Aceh,20.83,1.79
2023-04-01,Aceh,20.57,1.31
2023-04-02,Aceh,20.2,31.17
2023-04-03,Aceh,19.74,21.19
2023-04-04,Aceh,20.05,2.38
2023-04-05,Aceh,20.34,0.24
2023-04-06,Aceh,20.48,0.04
2023-04-07,Aceh,20.46,3.24
2023-04-08,Aceh,20.82,1.21
2023-04-09,Aceh,20.55,0.31
2023-04-10,Aceh,20.57,0.03
2023-04-11,Aceh,21.44,1.79
2023-04-12,Aceh,21.26,1.11
2023-04-13,Aceh,21.53,0.02
2023-04-14,Aceh,21.53,0.01
2023-04-15,Aceh,21.69,0.0
2023-04-16,Aceh,21.39,10.42
2023-04-17,Aceh,21.38,3.25
2023-04-18,Aceh,21.75,1.46
2023-04-19,Aceh,21.43,7.02
2023-04-20,Aceh,20.77,4.9
2023-04-21,Aceh,20.99,0.02
2023-04-22,Aceh,21.76,0.02
2023-04-23,Aceh,20.69,23.47
2023-04-24,Aceh,21.47,0.56
2023-04-25,Aceh,21.35,24.9
2023-04-26,Aceh,21.59,0.66
2023-04-27,Aceh,21.5,0.05
2023-04-28,Aceh,21.54,0.01
2023-04-29,Aceh,21.48,0.0
2023-04-30,Aceh,21.86,0.0
2023-05-01,Aceh,22.06,0.03
2023-05-02,Aceh,21.37,3.8
2023-05-03,Aceh,21.82,1.12
2023-05-04,Aceh,20.72,64.16
2023-05-05,Aceh,21.18,3.75
2023-05-06,Aceh,20.47,5.93
2023-05-07,Aceh,20.92,19.69
2023-05-08,Aceh,20.65,21.1
2023-05-09,Aceh,19.36,11.17
2023-05-10,Aceh,20.57,0.03
2023-05-11,Aceh,21.12,0.0
2023-05-12,Aceh,21.74,0.0
2023-05-13,Aceh,21.87,0.0
2023-05-14,Aceh,21.45,2.32
2023-05-15,Aceh,20.39,2.14
2023-05-16,Aceh,21.14,0.0
2023-05-17,Aceh,21.44,0.08
2023-05-18,Aceh,19.97,54.2
2023-05-19,Aceh,20.47,8.22
2023-05-20,Aceh,21.04,1.34
2023-05-21,Aceh,20.9,0.33
2023-05-22,Aceh,19.79,2.68
2023-05-23,Aceh,20.36,0.72
2023-05-24,Aceh,20.83,2.7
2023-05-25,Aceh,20.95,6.86
2023-05-26,Aceh,20.77,18.48
2023-05-27,Aceh,20.83,2.66
2023-05-28,Aceh,20.41,0.32
2023-05-29,Aceh,20.16,3.29
2023-05-30,Aceh,20.65,0.45
2023-05-31,Aceh,20.63,2.2
2023-06-01,Aceh,21.08,0.16
2023-06-02,Aceh,21.11,0.41
2023-06-03,Aceh,20.04,8.03
2023-06-04,Aceh,19.82,0.11
2023-06-05,Aceh,19.41,3.06
2023-06-06,Aceh,18.55,5.57
2023-06-07,Aceh,18.65,0.33
2023-06-08,Aceh,19.47,0.0
2023-06-09,Aceh,19.74,0.0
2023-06-10,Aceh,19.96,9.71
2023-06-11,Aceh,18.94,3.47
2023-06-12,Aceh,19.7,0.01
2023-06-13,Aceh,19.83,0.47
2023-06-14,Aceh,19.02,0.06
2023-06-15,Aceh,18.98,6.96
2023-06-16,Aceh,18.85,5.17
2023-06-17,Aceh,18.5,7.51
2023-06-18,Aceh,18.83,1.15
2023-06-19,Aceh,18.86,0.0
2023-06-20,Aceh,19.64,0.0
2023-06-21,Aceh,20.64,0.37
2023-06-22,Aceh,20.79,2.67
2023-06-23,Aceh,21.09,1.74
2023-06-24,Aceh,20.3,0.0
2023-06-25,Aceh,20.04,2.59
2023-06-26,Aceh,19.89,5.61
2023-06-27,Aceh,19.29,52.52
2023-06-28,Aceh,20.0,33.84
2023-06-29,Aceh,19.89,30.97
2023-06-30,Aceh,19.1,35.04
2023-07-01,Aceh,18.42,6.38
2023-07-02,Aceh,19.2,0.06
2023-07-03,Aceh,19.57,0.0
2023-07-04,Aceh,20.41,0.15
2023-07-05,Aceh,19.83,0.03
2023-07-06,Aceh,20.59,0.01
2023-07-07,Aceh,20.42,2.12
2023-07-08,Aceh,19.89,2.13
2023-07-09,Aceh,19.78,4.01
2023-07-10,Aceh,19.24,22.66
2023-07-11,Aceh,18.93,6.02
2023-07-12,Aceh,20.48,1.28
2023-07-13,Aceh,19.2,12.48
2023-07-14,Aceh,18.36,2.89
2023-07-15,Aceh,19.31,0.0
2023-07-16,Aceh,19.38,0.0
2023-07-17,Aceh,19.26,0.0
2023-07-18,Aceh,19.37,0.55
2023-07-19,Aceh,18.81,27.23
2023-07-20,Aceh,19.57,2.53
2023-07-21,Aceh,19.93,0.0
2023-07-22,Aceh,19.18,0.07
2023-07-23,Aceh,19.15,0.0
2023-07-24,Aceh,19.3,0.0
2023-07-25,Aceh,18.63,0.23
2023-07-26,Aceh,18.94,0.03
2023-07-27,Aceh,20.17,0.0
2023-07-28,Aceh,20.6,0.0
2023-07-29,Aceh,20.35,4.39
2023-07-30,Aceh,19.19,12.05
2023-07-31,Aceh,20.01,12.21
2023-08-01,Aceh,19.76,1.0
2023-08-02,Aceh,20.05,0.15
2023-08-03,Aceh,20.62,0.0
2023-08-04,Aceh,20.9,0.05
2023-08-05,Aceh,20.57,0.01
2023-08-06,Aceh,20.79,0.06
2023-08-07,Aceh,19.41,36.12
2023-08-08,Aceh,19.97,2.81
2023-08-09,Aceh,20.33,15.52
2023-08-10,Aceh,20.49,1.34
2023-08-11,Aceh,20.09,8.18
2023-08-12,Aceh,20.03,3.13
2023-08-13,Aceh,19.93,7.1
2023-08-14,Aceh,19.61,4.23
2023-08-15,Aceh,19.25,0.59
2023-08-16,Aceh,19.63,3.58
2023-08-17,Aceh,20.56,1.97
2023-08-18,Aceh,20.37,0.36
2023-08-19,Aceh,20.35,0.34
2023-08-20,Aceh,20.46,0.11
2023-08-21,Aceh,19.33,69.59
2023-08-22,Aceh,20.09,2.4
2023-08-23,Aceh,20.27,2.32
2023-08-24,Aceh,20.73,0.21
2023-08-25,Aceh,19.8,26.78
2023-08-26,Aceh,19.77,6.73
2023-08-27,Aceh,21.2,0.01
2023-08-28,Aceh,20.73,0.05
2023-08-29,Aceh,20.37,14.04
2023-08-30,Aceh,19.72,1.05
2023-08-31,Aceh,19.82,11.73
2023-09-01,Aceh,20.13,3.98
2023-09-02,Aceh,20.22,0.32
2023-09-03,Aceh,20.29,13.75
2023-09-04,Aceh,20.12,15.48
2023-09-05,Aceh,19.95,2.97
2023-09-06,Aceh,20.57,0.0
2023-09-07,Aceh,20.75,0.0
2023-09-08,Aceh,20.42,0.0
2023-09-09,Aceh,20.62,15.37
2023-09-10,Aceh,19.78,5.42
2023-09-11,Aceh,20.55,0.02
2023-09-12,Aceh,20.24,0.99
2023-09-13,Aceh,20.47,0.09
2023-09-14,Aceh,20.0,0.73
2023-09-15,Aceh,20.22,2.54
2023-09-16,Aceh,20.33,28.03
2023-09-17,Aceh,20.8,7.32
2023-09-18,Aceh,20.25,0.29
2023-09-19,Aceh,20.47,3.77
2023-09-20,Aceh,20.23,56.72
2023-09-21,Aceh,20.02,21.91
2023-09-22,Aceh,20.34,0.59
2023-09-23,Aceh,19.35,48.3
2023-09-24,Aceh,19.4,8.45
2023-09-25,Aceh,19.65,15.74
2023-09-26,Aceh,19.66,9.82
2023-09-27,Aceh,19.71,1.53
2023-09-28,Aceh,21.23,0.63
2023-09-29,Aceh,20.74,0.42
2023-09-30,Aceh,21.06,0.0
2023-10-01,Aceh,21.32,9.35
2023-10-02,Aceh,21.08,24.87
2023-10-03,Aceh,20.49,15.35
2023-10-04,Aceh,19.79,61.2
2023-10-05,Aceh,20.22,49.09
2023-10-06,Aceh,20.56,6.01
2023-10-07,Aceh,20.54,3.85
2023-10-08,Aceh,21.2,9.5
2023-10-09,Aceh,20.09,22.21
2023-10-10,Aceh,20.18,6.32
2023-10-11,Aceh,20.25,10.74
2023-10-12,Aceh,20.38,3.0
2023-10-13,Aceh,20.65,55.59
2023-10-14,Aceh,20.82,19.7
2023-10-15,Aceh,19.98,2.13
2023-10-16,Aceh,20.31,11.7
2023-10-17,Aceh,19.52,2.76
2023-10-18,Aceh,20.01,0.39
2023-10-19,Aceh,20.79,2.75
2023-10-20,Aceh,19.98,23.2
2023-10-21,Aceh,19.88,0.56
2023-10-22,Aceh,19.6,10.72
2023-10-23,Aceh,20.65,6.85
2023-10-24,Aceh,20.85,25.16
2023-10-25,Aceh,20.46,25.74
2023-10-26,Aceh,20.49,7.48
2023-10-27,Aceh,19.59,5.86
2023-10-28,Aceh,20.09,4.0
2023-10-29,Aceh,19.75,17.31
2023-10-30,Aceh,20.04,11.61
2023-10-31,Aceh,21.08,18.55
2023-11-01,Aceh,20.36,74.52
2023-11-02,Aceh,20.8,4.12
2023-11-03,Aceh,20.33,0.59
2023-11-04,Aceh,20.75,0.65
2023-11-05,Aceh,20.83,4.43
2023-11-06,Aceh,19.86,38.74
2023-11-07,Aceh,20.2,6.4
2023-11-08,Aceh,20.25,11.21
2023-11-09,Aceh,19.95,7.08
2023-11-10,Aceh,20.05,2.22
2023-11-11,Aceh,20.17,5.96
2023-11-12,Aceh,20.37,1.67
2023-11-13,Aceh,20.3,6.3
2023-11-14,Aceh,20.9,1.27
2023-11-15,Aceh,20.29,22.12
2023-11-16,Aceh,19.87,3.54
2023-11-17,Aceh,20.59,1.1
2023-11-18,Aceh,20.43,0.74
2023-11-19,Aceh,20.16,0.7
2023-11-20,Aceh,20.49,7.11
2023-11-21,Aceh,19.62,7.67
2023-11-22,Aceh,20.0,7.4
2023-11-23,Aceh,19.4,19.67
2023-11-24,Aceh,19.88,9.7
2023-11-25,Aceh,19.16,26.63
2023-11-26,Aceh,19.12,5.72
2023-11-27,Aceh,19.41,24.06
2023-11-28,Aceh,20.24,15.18
